Word	Pknown
a	0.9772
aardvark	0.9585
aardwolf	0.2126
abaca	0.2374
aback	0.8630
abacus	0.9277
abaft	0.1873
abalone	0.6919
abandon	0.9974
abandoned	1.0000
abandonee	0.6602
abandoner	0.8639
abandonment	0.9905
abase	0.7500
abased	0.7865
abasement	0.8113
abash	0.8874
abashed	0.9412
abashedly	0.8622
abashment	0.7939
abatable	0.7190
abate	0.9275
abatement	0.8870
abattoir	0.5884
abbacy	0.1864
abbatial	0.1870
abbe	0.1854
abbess	0.5242
abbey	0.9508
abbot	0.8128
abbotship	0.4158
abbreviate	0.9900
abbreviated	0.9948
abbreviation	0.9955
abbreviator	0.9082
abdicable	0.4352
abdicant	0.6403
abdicate	0.9137
abdication	0.9008
abdicative	0.6542
abdicator	0.8991
abdomen	1.0000
abdominal	0.9926
abdominally	0.9698
abduct	0.9948
abductee	0.9783
abduction	0.9975
abductor	0.9802
abeam	0.4436
abecedarian	0.1777
abecedary	0.2134
abed	0.6667
abele	0.1209
aberrance	0.6692
aberrancy	0.5455
aberrant	0.7865
aberration	0.9205
aberrational	0.7065
abet	0.7398
abetment	0.4533
abettor	0.5076
abeyance	0.5623
abeyant	0.4005
abhor	0.8859
abhorrence	0.9423
abhorrent	0.9496
abhorrently	0.9326
abhorrer	0.6935
abhorring	0.8859
abidance	0.5150
abide	0.9907
abider	0.8077
abiding	0.9855
abidingly	0.8741
abidingness	0.5793
ability	0.9950
abiogenesis	0.4064
abiogenetically	0.4194
abiotic	0.7027
abject	0.8878
abjection	0.7410
abjectly	0.8452
abjectness	0.7864
abjudicate	0.7268
abjuration	0.5313
abjuratory	0.4046
abjure	0.5615
abjurer	0.4928
ablate	0.5500
ablation	0.6267
ablative	0.5783
ablator	0.4130
ablaut	0.1377
ablaze	0.9836
able	0.9977
abler	0.6537
ablest	0.4112
abloom	0.7052
ablution	0.6509
ablutionary	0.5036
ably	0.8365
abnegate	0.4329
abnegation	0.4672
abnegator	0.3506
abnormal	0.9977
